lane,event,start_us,end_us,detail
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.667051,6275.669051,cycles 131207127..131207128 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.668051,6275.669051,cycles 131207128..131207128 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.668051,6275.674052,cycles 131207128..131207133 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.673052,6275.674052,cycles 131207133..131207133 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.673052,6275.687053,cycles 131207133..131207146 (14 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.686053,6275.687053,cycles 131207146..131207146 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.686053,6275.702055,cycles 131207146..131207161 (16 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6275.701054,6326.612922,cycles 131207161..131258067 (50907 cyc)
"tile 0,3 core",ACTIVE,6326.611922,6326.622923,cycles 131258067..131258077 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6326.621923,6326.622923,cycles 131258077..131258077 (1 cyc)
"tile 0,3 core",ACTIVE,6326.621923,6326.671928,cycles 131258077..131258126 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6326.670928,6326.671928,cycles 131258126..131258126 (1 cyc)
"tile 0,3 core",ACTIVE,6326.670928,6326.681929,cycles 131258126..131258136 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6326.680929,6326.681929,cycles 131258136..131258136 (1 cyc)
"tile 0,3 core",ACTIVE,6326.680929,6326.688930,cycles 131258136..131258143 (8 cyc)
"tile 0,3 core",ACTIVE,6326.687930,6326.688930,cycles 131258143..131258143 (1 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,5906.198724,5906.323736,cycles 130837694..130837818 (125 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,5906.322736,6178.807790,cycles 130837818..131110276 (272459 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.806790,6178.814791,cycles 131110276..131110283 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.813791,6178.815791,cycles 131110283..131110284 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.814791,6178.822791,cycles 131110284..131110291 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.821791,6178.826792,cycles 131110291..131110295 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.825792,6178.833792,cycles 131110295..131110302 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.832792,6178.833792,cycles 131110302..131110302 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.832792,6178.840793,cycles 131110302..131110309 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.839793,6178.842793,cycles 131110309..131110311 (3 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.841793,6178.849794,cycles 131110311..131110318 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.848794,6178.850794,cycles 131110318..131110319 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.849794,6178.857795,cycles 131110319..131110326 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.856795,6178.858795,cycles 131110326..131110327 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.857795,6178.865796,cycles 131110327..131110334 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.864795,6178.866796,cycles 131110334..131110335 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.865796,6178.873796,cycles 131110335..131110342 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.872796,6178.873796,cycles 131110342..131110342 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.872796,6178.880797,cycles 131110342..131110349 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.879797,6178.882797,cycles 131110349..131110351 (3 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.881797,6178.889798,cycles 131110351..131110358 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.888798,6178.890798,cycles 131110358..131110359 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.889798,6178.897799,cycles 131110359..131110366 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.896799,6178.898799,cycles 131110366..131110367 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.897799,6178.905799,cycles 131110367..131110374 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.904799,6178.906799,cycles 131110374..131110375 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.905799,6178.913800,cycles 131110375..131110382 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.912800,6178.913800,cycles 131110382..131110382 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.912800,6178.914800,cycles 131110382..131110383 (2 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.913800,6178.914800,cycles 131110383..131110383 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.913800,6178.919801,cycles 131110383..131110388 (6 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.918801,6178.920801,cycles 131110388..131110389 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.919801,6178.927801,cycles 131110389..131110396 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.926801,6178.927801,cycles 131110396..131110396 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.926801,6178.934802,cycles 131110396..131110403 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.933802,6178.936802,cycles 131110403..131110405 (3 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.935802,6178.939803,cycles 131110405..131110408 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.938803,6178.942803,cycles 131110408..131110411 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.941803,6178.943803,cycles 131110411..131110412 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.942803,6178.946803,cycles 131110412..131110415 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.945803,6178.950804,cycles 131110415..131110419 (5 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.949804,6178.950804,cycles 131110419..131110419 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.949804,6178.953804,cycles 131110419..131110422 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.952804,6178.958804,cycles 131110422..131110427 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.957804,6178.961805,cycles 131110427..131110430 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.960805,6178.966805,cycles 131110430..131110435 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.965805,6178.967805,cycles 131110435..131110436 (2 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.966805,6178.967805,cycles 131110436..131110436 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.966805,6178.968805,cycles 131110436..131110437 (2 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.967805,6178.973806,cycles 131110437..131110442 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.972806,6178.976806,cycles 131110442..131110445 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.975806,6178.980807,cycles 131110445..131110449 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.979806,6178.983807,cycles 131110449..131110452 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.982807,6178.988807,cycles 131110452..131110457 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.987807,6178.988807,cycles 131110457..131110457 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.987807,6178.988807,cycles 131110457..131110457 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.987807,6178.989807,cycles 131110457..131110458 (2 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.988807,6178.994808,cycles 131110458..131110463 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.993808,6178.996808,cycles 131110463..131110465 (3 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.995808,6178.996808,cycles 131110465..131110465 (1 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6178.995808,6179.000808,cycles 131110465..131110469 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6178.999808,6179.003809,cycles 131110469..131110472 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.002809,6179.009809,cycles 131110472..131110478 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.008809,6179.012810,cycles 131110478..131110481 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.011810,6179.016810,cycles 131110481..131110485 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.015810,6179.019810,cycles 131110485..131110488 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.018810,6179.025811,cycles 131110488..131110494 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.024811,6179.028811,cycles 131110494..131110497 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.027811,6179.033812,cycles 131110497..131110502 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.032812,6179.036812,cycles 131110502..131110505 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.035812,6179.143822,cycles 131110505..131110612 (108 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.142822,6179.146822,cycles 131110612..131110615 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.145822,6179.151823,cycles 131110615..131110620 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.150823,6179.154823,cycles 131110620..131110623 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.153823,6179.160824,cycles 131110623..131110629 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.159824,6179.163824,cycles 131110629..131110632 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.162824,6179.167824,cycles 131110632..131110636 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.166824,6179.170825,cycles 131110636..131110639 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.169825,6179.176825,cycles 131110639..131110645 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.175825,6179.179826,cycles 131110645..131110648 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.178825,6179.183826,cycles 131110648..131110652 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.182826,6179.186826,cycles 131110652..131110655 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.185826,6179.191827,cycles 131110655..131110660 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.190827,6179.194827,cycles 131110660..131110663 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.193827,6179.200828,cycles 131110663..131110669 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.199827,6179.203828,cycles 131110669..131110672 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.202828,6179.207828,cycles 131110672..131110676 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.206828,6179.210829,cycles 131110676..131110679 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.209828,6179.216829,cycles 131110679..131110685 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.215829,6179.219829,cycles 131110685..131110688 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.218829,6179.223830,cycles 131110688..131110692 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.222830,6179.226830,cycles 131110692..131110695 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.225830,6179.231831,cycles 131110695..131110700 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.230830,6179.234831,cycles 131110700..131110703 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.233831,6179.239831,cycles 131110703..131110708 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.238831,6179.242832,cycles 131110708..131110711 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.241831,6179.247832,cycles 131110711..131110716 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.246832,6179.250832,cycles 131110716..131110719 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.249832,6179.256833,cycles 131110719..131110725 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.255833,6179.259833,cycles 131110725..131110728 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.258833,6179.263834,cycles 131110728..131110732 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.262834,6179.266834,cycles 131110732..131110735 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.265834,6179.272834,cycles 131110735..131110741 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.271834,6179.275835,cycles 131110741..131110744 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.274835,6179.279835,cycles 131110744..131110748 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.278835,6179.288836,cycles 131110748..131110757 (10 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6179.287836,6179.288836,cycles 131110757..131110757 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.287836,6179.291836,cycles 131110757..131110760 (4 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.290836,6179.301837,cycles 131110760..131110770 (11 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.300837,6179.301837,cycles 131110770..131110770 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.300837,6179.351842,cycles 131110770..131110820 (51 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.350842,6179.351842,cycles 131110820..131110820 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.350842,6179.361843,cycles 131110820..131110830 (11 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.360843,6179.361843,cycles 131110830..131110830 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.360843,6179.408847,cycles 131110830..131110877 (48 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6179.407847,6179.408847,cycles 131110877..131110877 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.407847,6179.408847,cycles 131110877..131110877 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.407847,6179.411848,cycles 131110877..131110880 (4 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.410848,6179.421849,cycles 131110880..131110890 (11 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.420849,6179.421849,cycles 131110890..131110890 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.420849,6179.471853,cycles 131110890..131110940 (51 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.470853,6179.508857,cycles 131110940..131110977 (38 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.507857,6179.509857,cycles 131110977..131110978 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.508857,6179.512857,cycles 131110978..131110981 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.511857,6179.517858,cycles 131110981..131110986 (6 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.516858,6179.520858,cycles 131110986..131110989 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.519858,6179.545861,cycles 131110989..131111014 (26 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.544860,6179.548861,cycles 131111014..131111017 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.547861,6179.552861,cycles 131111017..131111021 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.551861,6179.555862,cycles 131111021..131111024 (4 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.554861,6179.561862,cycles 131111024..131111030 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.560862,6179.568863,cycles 131111030..131111037 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.567863,6179.569863,cycles 131111037..131111038 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.568863,6179.576864,cycles 131111038..131111045 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.575863,6179.577864,cycles 131111045..131111046 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.576864,6179.584864,cycles 131111046..131111053 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.583864,6179.585864,cycles 131111053..131111054 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.584864,6179.592865,cycles 131111054..131111061 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.591865,6179.592865,cycles 131111061..131111061 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.591865,6179.599866,cycles 131111061..131111068 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.598866,6179.601866,cycles 131111068..131111070 (3 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.600866,6179.608867,cycles 131111070..131111077 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.607866,6179.609867,cycles 131111077..131111078 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.608867,6179.616867,cycles 131111078..131111085 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.615867,6179.617867,cycles 131111085..131111086 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.616867,6179.624868,cycles 131111086..131111093 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.623868,6179.625868,cycles 131111093..131111094 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.624868,6179.632869,cycles 131111094..131111101 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.631869,6179.632869,cycles 131111101..131111101 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.631869,6179.639870,cycles 131111101..131111108 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.638869,6179.641870,cycles 131111108..131111110 (3 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.640870,6179.648870,cycles 131111110..131111117 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.647870,6179.648870,cycles 131111117..131111117 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.647870,6179.655871,cycles 131111117..131111124 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.654871,6179.657871,cycles 131111124..131111126 (3 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.656871,6179.664872,cycles 131111126..131111133 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.663872,6179.665872,cycles 131111133..131111134 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.664872,6179.672873,cycles 131111134..131111141 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.671873,6179.673873,cycles 131111141..131111142 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.672873,6179.680873,cycles 131111142..131111149 (8 cyc)
"tile 0,3 south slave 1",PORT_IDLE_0,6179.679873,6179.681874,cycles 131111149..131111150 (2 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.680873,6179.694875,cycles 131111150..131111163 (14 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6179.693875,6179.694875,cycles 131111163..131111163 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6179.693875,6179.709876,cycles 131111163..131111178 (16 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6179.708876,6230.850766,cycles 131111178..131162314 (51137 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.849766,6230.860767,cycles 131162314..131162324 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.859767,6230.860767,cycles 131162324..131162324 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.859767,6230.909772,cycles 131162324..131162373 (50 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.908772,6230.909772,cycles 131162373..131162373 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.908772,6230.919773,cycles 131162373..131162383 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.918773,6230.919773,cycles 131162383..131162383 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.918773,6230.925773,cycles 131162383..131162389 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6230.924773,6230.932774,cycles 131162389..131162396 (8 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6230.931774,6230.932774,cycles 131162396..131162396 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6230.931774,6230.966777,cycles 131162396..131162430 (35 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6230.965777,6231.034784,cycles 131162430..131162498 (69 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.033784,6231.034784,cycles 131162498..131162498 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.033784,6231.049785,cycles 131162498..131162513 (16 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.048785,6231.152795,cycles 131162513..131162616 (104 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.151795,6231.162796,cycles 131162616..131162626 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.161796,6231.162796,cycles 131162626..131162626 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.161796,6231.211801,cycles 131162626..131162675 (50 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.210801,6231.211801,cycles 131162675..131162675 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.210801,6231.221802,cycles 131162675..131162685 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.220801,6231.221802,cycles 131162685..131162685 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.220801,6231.272806,cycles 131162685..131162736 (52 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.271806,6231.272806,cycles 131162736..131162736 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.271806,6231.282807,cycles 131162736..131162746 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.281807,6231.282807,cycles 131162746..131162746 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.281807,6231.288808,cycles 131162746..131162752 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.287808,6231.295809,cycles 131162752..131162759 (8 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.294809,6231.295809,cycles 131162759..131162759 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.294809,6231.329812,cycles 131162759..131162793 (35 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.328812,6231.329812,cycles 131162793..131162793 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.328812,6231.339813,cycles 131162793..131162803 (11 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.338813,6231.339813,cycles 131162803..131162803 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.338813,6231.388818,cycles 131162803..131162852 (50 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.387817,6231.388818,cycles 131162852..131162852 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.387817,6231.392818,cycles 131162852..131162856 (5 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.391818,6231.392818,cycles 131162856..131162856 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.391818,6231.396818,cycles 131162856..131162860 (5 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.395818,6231.396818,cycles 131162860..131162860 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.395818,6231.446823,cycles 131162860..131162910 (51 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.445823,6231.516830,cycles 131162910..131162980 (71 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.515830,6231.516830,cycles 131162980..131162980 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.515830,6231.531831,cycles 131162980..131162995 (16 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.530831,6231.774854,cycles 131162995..131163238 (244 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.773854,6231.784855,cycles 131163238..131163248 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.783855,6231.784855,cycles 131163248..131163248 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.783855,6231.833860,cycles 131163248..131163297 (50 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.832860,6231.833860,cycles 131163297..131163297 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.832860,6231.843861,cycles 131163297..131163307 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.842861,6231.843861,cycles 131163307..131163307 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.842861,6231.849862,cycles 131163307..131163313 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.848862,6231.892866,cycles 131163313..131163356 (44 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.891866,6231.959872,cycles 131163356..131163423 (68 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.958872,6231.959872,cycles 131163423..131163423 (1 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6231.958872,6231.974874,cycles 131163423..131163438 (16 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6231.973873,6233.678036,cycles 131163438..131165141 (1704 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6233.677036,6233.688037,cycles 131165141..131165151 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6233.687037,6233.688037,cycles 131165151..131165151 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6233.687037,6233.737042,cycles 131165151..131165200 (50 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6233.736042,6233.737042,cycles 131165200..131165200 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6233.736042,6233.747043,cycles 131165200..131165210 (11 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6233.746043,6233.747043,cycles 131165210..131165210 (1 cyc)
"tile 0,3 south slave 1",PORT_STALLED_0,6233.746043,6233.753044,cycles 131165210..131165216 (7 cyc)
"tile 0,3 south slave 1",PORT_RUNNING_0,6233.752044,6233.796048,cycles 131165216..131165259 (44 cyc)
